,level_0,timestamp,device,metric,value,Consumption by hour
193,0,2023-10-06 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,2.0
194,0,2023-10-06 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
195,0,2023-10-06 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
196,0,2023-10-06 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
197,0,2023-10-06 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
198,0,2023-10-06 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
199,0,2023-10-07 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
200,0,2023-10-07 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
201,0,2023-10-07 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
202,0,2023-10-07 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
203,0,2023-10-07 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
204,0,2023-10-07 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
205,0,2023-10-07 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,727.0,0.0
206,0,2023-10-07 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,728.0,1.0
207,0,2023-10-07 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,729.0,1.0
208,0,2023-10-07 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,730.0,1.0
209,0,2023-10-07 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,739.0,9.0
210,0,2023-10-07 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,740.0,1.0
211,0,2023-10-07 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,741.0,1.0
212,0,2023-10-07 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,741.0,0.0
213,0,2023-10-07 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,742.0,1.0
214,0,2023-10-07 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,742.0,0.0
215,0,2023-10-07 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,746.0,4.0
216,0,2023-10-07 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,746.0,0.0
217,0,2023-10-07 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,747.0,1.0
218,0,2023-10-07 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,747.0,0.0
219,0,2023-10-07 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,748.0,1.0
220,0,2023-10-07 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,748.0,0.0
221,0,2023-10-07 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,749.0,1.0
